L9Sun		<br>Then he told them a parable. He said,|<br>The Lord told this parable.%… And some fell into good soil, and it grew and bore fruit a hundred times over.’ After|… After
L10Mon		<br>When he|<br>At that time, when Jesus
L10Tue		<br>‘And as it was|<br>The Lord said, ‘As it was
L10Wed		<br>They were bringing babies to him|<br>At that time they were bringing babies to Jesus
L10Thu		<br>He|<br>At that time Jesus
L10Fri		<br>and so he said,|<br>The Lord told this parable.
L10Sat		<br>‘Understand|<br>The Lord said to his disciples, ‘Understand
L10Sun		<br>He|<br>At that time Jesus
L11Mon		<br>And on the descent from the Mount of Olives, as he|<br>At that time, on the descent from the Mount of Olives, as Jesus
L11Tue		<br>Then he|<br>At that time Jesus
L11Wed		<br>On one of those days when he|<br>At that time, when Jesus
L11Thu		<br>He told the people this parable.|<br>The Lord told this parable.
L11Fri		<br>At that moment the chief priests and the scribes wanted to seize him|<br>At that time the chief priests and the scribes wanted to seize Jesus
L11Sat		<br>‘Do not be afraid|<br>The Lord said, ‘Do not be afraid
L11Sun		</em><br>He told him,|; Matthew 22:14</em><br>The Lord told this parable.%supper.”’<br><br><em>Matthew 22:14</em><br>‘Because|supper.” … Because
L12Mon		<br>Some|<br>At that time some%came up and questioned him|came up and questioned Jesus
L12Tue		<br>‘But before all this you|<br>The Lord told his disciples … ‘You
L12Wed		<br>There|<br>At that time there%votive offerings. He said|votive offerings. Jesus said
L12Thu		<br>‘When|<br>The Lord said to his disciples, ‘When
L12Fri		<br>By day he was in the temple teaching,|<br>At that time Jesus was teaching in the temple by day, 
L12Sat		<br>He said, ‘What is the Kingdom of God like? To what shall I compare it? It is like|<br>The Lord told this parable. ‘The Kingdom of God is like
L12Sun		<br>and as he entered a village, ten men|<br>At that time, as Jesus entered a village, ten men
L13Mon		<br>The Pharisees came up and began to question him|<br>At that time the Pharisees came up and began to question Jesus
L13Tue		<br>Then he|<br>At that time Jesus
L13Wed		<br>But he cautioned them not to tell anyone about it|<br>At that time Jesus cautioned his disciples not to tell anyone that he was the Christ
L13Thu		<br>and they kept the matter to themselves. They were|<br>At that time the disciples were%questioned him|questioned Jesus
L13Fri		<br>He arrived in Capernaum, and when he was in the house he asked them|<br>At that time Jesus arrived in Capernaum, and when he was in the house he asked the disciples
L13Sat		<br>On the Sabbath, as he|<br>At that time, as Jesus
